asignatura_id,asignatura_dependiente_id
707107610,707100014
707107674,707100015
701113251,701100074
701113251,701100052
701113251,701100032
701113251,701100012
707119100,707119043
705100041,705100051
705100033,705114370
705100051,705114370
705100052,705114370
705100054,705114370
705100053,705100104
705100064,705100104
705100062,705100104
G547008,G547005
G511003,G511001
G511003,G511002
G511003,G99906
G511004,G99906
G637004,G99906
G637003,G637002
G637003,G99906
G544004,G99906
707107628,707100020
707107670,707100020
707100018,707100020
707100020,707500030
707100020,707705002
707100020,707703396
707100020,707703016
707100020,707704035
707100020,707703398
707402772,707400058
707100018,707402772
709109112,709119460
709109112,709119209
709109115,709119460
709109115,709119209
709109112,709119206
709109115,709119206
709109274,709119209
709109274,709119460
709109274,709119206
709109270,709119206
709109270,709119209
709109270,709119460
709109273,709119460
709109273,709119209
709109273,709119206
709109122,709119460
709109122,709119209
709109122,709119206
709109125,709119460
709109125,709119209
709109125,709119206
709109135,709119460
709109135,709119206
709109135,709119209
709109132,709119460
709109132,709119206
709109132,709119209
709109142,709119460
709109142,709119206
709109142,709119209
709109145,709119206
709109145,709119460
709109145,709119209
709109155,709119460
709109155,709119209
709109155,709119206
709109152,709119460
709109152,709119209
709109152,709119206
709109272,709119460
709109272,709119209
709109272,709119206
709109271,709119209
709109271,709119460
709109271,709119206
